,ID,Predicted Price
0,1461,107000
1,1462,151500
2,1463,192000
3,1464,188500
4,1465,213500
5,1466,176000
6,1467,165600
7,1468,183500
8,1469,176000
9,1470,135000
10,1471,181000
11,1472,85400
12,1473,85400
13,1474,148500
14,1475,148500
15,1476,395192
16,1477,233170
17,1478,274900
18,1479,274900
19,1480,611657
20,1481,440000
21,1482,202500
22,1483,183500
23,1484,160200
24,1485,184100
25,1486,178000
26,1487,221000
27,1488,192500
28,1489,208300
29,1490,250580
30,1491,213000
31,1492,80000
32,1493,187000
33,1494,341000
34,1495,348000
35,1496,226000
36,1497,171900
37,1498,144500
38,1499,147400
39,1500,147400
40,1501,176000
41,1502,148800
42,1503,61000
43,1504,216000
44,1505,216000
45,1506,185000
46,1507,210000
47,1508,167900
48,1509,157000
49,1510,145250
50,1511,144500
51,1512,159000
52,1513,163900
53,1514,116050
54,1515,205000
55,1516,143000
56,1517,272000
57,1518,119000
58,1519,196500
59,1520,119000
60,1521,142000
61,1522,139950
62,1523,135000
63,1524,120000
64,1525,128900
65,1526,131500
66,1527,110000
67,1528,120000
68,1529,155000
69,1530,167900
70,1531,119000
71,1532,110500
72,1533,134800
73,1534,95000
74,1535,143000
75,1536,115000
76,1537,91000
77,1538,119000
78,1539,107500
79,1540,37900
80,1541,125500
81,1542,167500
82,1543,128000
83,1544,100000
84,1545,119000
85,1546,145000
86,1547,155000
87,1548,157900
88,1549,117000
89,1550,128000
90,1551,119200
91,1552,132500
92,1553,141000
93,1554,132000
94,1555,192000
95,1556,121500
96,1557,82500
97,1558,136500
98,1559,68400
99,1560,119900
100,1561,165000
101,1562,130000
102,1563,135000
103,1564,135960
104,1565,128200
105,1566,190000
106,1567,86000
107,1568,222500
108,1569,170000
109,1570,119000
110,1571,120000
111,1572,120000
112,1573,187100
113,1574,141500
114,1575,174900
115,1576,239500
116,1577,206000
117,1578,135000
118,1579,233230
119,1580,192000
120,1581,154000
121,1582,135000
122,1583,305900
123,1584,192000
124,1585,149300
125,1586,98300
126,1587,116050
127,1588,140000
128,1589,109500
129,1590,125000
130,1591,120000
131,1592,112000
132,1593,140000
133,1594,105000
134,1595,113000
135,1596,210000
136,1597,124500
137,1598,185500
138,1599,124000
139,1600,124000
140,1601,100000
141,1602,125500
142,1603,55993
143,1604,275000
144,1605,210000
145,1606,171500
146,1607,144500
147,1608,202900
148,1609,202900
149,1610,202900
150,1611,140000
151,1612,201000
152,1613,176000
153,1614,134000
154,1615,75000
155,1616,83500
156,1617,83500
157,1618,144500
158,1619,193000
159,1620,188000
160,1621,155000
161,1622,135000
162,1623,170000
163,1624,205000
164,1625,128900
165,1626,174000
166,1627,172400
167,1628,236000
168,1629,184100
169,1630,286000
170,1631,275000
171,1632,213500
172,1633,184100
173,1634,188500
174,1635,165600
175,1636,176000
176,1637,165600
177,1638,214000
178,1639,178000
179,1640,215000
180,1641,176000
181,1642,229456
182,1643,214000
183,1644,226700
184,1645,197500
185,1646,141000
186,1647,175500
187,1648,140000
188,1649,135000
189,1650,135000
190,1651,139950
191,1652,85400
192,1653,85400
193,1654,148500
194,1655,148500
195,1656,148500
196,1657,148500
197,1658,148500
198,1659,148500
199,1660,160000
200,1661,485000
201,1662,325624
202,1663,395192
203,1664,325000
204,1665,319900
205,1666,207000
206,1667,267000
207,1668,451950
208,1669,274900
209,1670,277500
210,1671,254000
211,1672,350000
212,1673,309000
213,1674,256300
214,1675,194700
215,1676,185850
216,1677,185850
217,1678,415298
218,1679,374000
219,1680,318061
220,1681,319900
221,1682,326000
222,1683,185850
223,1684,178900
224,1685,183500
225,1686,160200
226,1687,184100
227,1688,222500
228,1689,183500
229,1690,188500
230,1691,188500
231,1692,216500
232,1693,184100
233,1694,188500
234,1695,184100
235,1696,214000
236,1697,184100
237,1698,333168
238,1699,271000
239,1700,260400
240,1701,315750
241,1702,248328
242,1703,232000
243,1704,307000
244,1705,307000
245,1706,184750
246,1707,182000
247,1708,216000
248,1709,249700
249,1710,249700
250,1711,216000
251,1712,227875
252,1713,216000
253,1714,171750
254,1715,216000
255,1716,178000
256,1717,178000
257,1718,141000
258,1719,233000
